139,134,DUBBELZIJDIG,Godefriduskaai (2000),null,2000,1
140,123,ENKELZIJDIG,Viséstraat (2060),14,2060,1
141,133,ENKELZIJDIG,Entrepotplaats (2000),1,2000,1
142,124,ENKELZIJDIG,Ellermanstraat (2060),74,2060,1
143,068,DUBBELZIJDIG,Turnhoutsebaan (2140),366,2140,3
144,062,DUBBELZIJDIG,Lange Lobroekstraat (2060),220,2060,1
145,063,ENKELZIJDIG,Lange Lobroekstraat (2060),93,2060,1
146,038,ENKELZIJDIG,Pastorijstraat (2060),28,2060,1
147,073,DUBBELZIJDIG,Maarschalk Gérardstraat (2000),25a,2000,1
148,013,DUBBELZIJDIG,Jan Van Rijswijcklaan (2018),null,2018,1
149,048,ENKELZIJDIG,De Keyserlei (2018),61,2018,1
150,136,DUBBELZIJDIG,Hardenvoort (2060),55-57,2060,1
151,154,ENKELZIJDIG,Statielei (2140),109,2140,3
152,155,DUBBELZIJDIG,Statielei (2140),null,2140,3
153,157,DUBBELZIJDIG,Binnensingel (2600),null,2600,2
154,158,DUBBELZIJDIG,Zuidervelodroom (2018),55,2018,1
155,159,DUBBELZIJDIG,Boudewijnssteeg (2018),1,2018,1
156,160,DUBBELZIJDIG,Brusselstraat (2018),5,2018,1
157,201,DUBBELZIJDIG,Havanastraat (2030),1,2030,1
158,203,DUBBELZIJDIG,Columbiastraat (2030),null,2030,1
159,204,DUBBELZIJDIG,Noorderlaan (2030),104B-104C,2030,1
160,205,DUBBELZIJDIG,Groenendaallaan (2030),397A,2030,1
161,206,ENKELZIJDIG,Bermstraat (2030),null,2030,1
162,207,DUBBELZIJDIG,Van Praetlei (2170),252,2170,6
163,208,ENKELZIJDIG,Ringlaan (2170),74,2170,6
164,209,DUBBELZIJDIG,Korte Bremstraat (2170),2,2170,6
165,210,DUBBELZIJDIG,Maantjessteenweg (2170),175,2170,6
166,211,DUBBELZIJDIG,Rodeloopstraat (2170),67,2170,6
167,212,DUBBELZIJDIG,Rodeloopstraat (2170),1-3,2170,6
168,213,ENKELZIJDIG,Kroonplein (2170),28,2170,6
169,214,DUBBELZIJDIG,Lambrechtshoekenlaan (2170),133-135,2170,6
170,215,ENKELZIJDIG,Nieuwdreef (2170),107,2170,6
171,216,DUBBELZIJDIG,Van Heybeeckstraat (2170),28,2170,6
172,217,ENKELZIJDIG,Bredabaan (2170),768,2170,6
173,218,DUBBELZIJDIG,Ullenshofstraat (2170),3,2170,6
174,219,DUBBELZIJDIG,Borrewaterstraat (2170),8,2170,6
175,220,DUBBELZIJDIG,Sint-Bartholomeusstraat (2170),122,2170,6
